Roll Number,Official School Name,Coeducational/Singlesex,Ethos,Language,County,School Planning Area,School Type,Patron,Households associated with the current pupils,Validated responses from parents with children in primary school,Response rate from parents with children in primary school,Overall margin of error associated with the current pupils,Preference for singlesex from parents with children in primary school,Preference for coeducational from parents with children in primary school,Preference for multidenominational from parents with children in primary school,Preference for denominational from parents with children in primary school,Preference for Irish from parents with children in primary school,Preference for English from parents with children in primary school,Preference for singlesex from parents with children in primary school (%),Preference for coeducational from parents with children in primary school (%),Preference for multidenominational from parents with children in primary school (%),Preference for denominational from parents with children in primary school (%),Preference for Irish from parents with children in primary school (%),Preference for English from parents with children in primary school (%),Validated responses from parents of children not yet in school,Preference for singlesex from parents of children not yet in school,Preference for coeducational from parents of children not yet in school,Preference for multidenominational from parents of children not yet in school,Preference for denominational from parents of children not yet in school,Preference for Irish from parents of children not yet in school,Preference for English from parents of children not yet in school,Preference for singlesex from parents of children not yet in school (%),Preference for coeducational from parents of children not yet in school (%),Preference for multidenominational from parents of children not yet in school (%),Preference for denominational from parents of children not yet in school (%),Preference for Irish from parents of children not yet in school (%),Preference for English from parents of children not yet in school (%)
13191H,High St Mixed N S,Co educational,Denominational,English,Offaly,Ferbane,Mainstream,Bishop of Ardagh & Clonmacnoise,47,36,77%,13%,0,36,5,31,6,30,0%,100%,14%,86%,17%,83%,,,,,,,,,,,,,
16990G,S N Naomh Callin,Co educational,Denominational,English,Offaly,Ferbane,Mainstream,Bishop of Ardagh & Clonmacnoise,46,19,41%,18%,0,19,6,13,4,15,0%,100%,32%,68%,21%,79%,,,,,,,,,,,,,
17069H,S N Muire Naofa,Co educational,Denominational,English,Offaly,Ferbane,Mainstream,Bishop of Ardagh & Clonmacnoise,44,15,34%,20%,2,13,4,11,3,12,13%,87%,27%,73%,20%,80%,,,,,,,,,,,,,
17188P,S N Chiarain Naofa,Co educational,Denominational,English,Offaly,Ferbane,Mainstream,Bishop of Ardagh & Clonmacnoise,48,31,65%,14%,0,31,4,27,3,28,0%,100%,13%,87%,10%,90%,,,,,,,,,,,,,
18777Q,S N Lomchluana,Co educational,Denominational,English,Offaly,Ferbane,Mainstream,Bishop of Ardagh & Clonmacnoise,28,12,43%,21%,0,12,3,9,2,10,0%,100%,25%,75%,17%,83%,,,,,,,,,,,,,
20289P,St. Cynoc's National School,Co educational,Denominational,English,Offaly,Ferbane,Mainstream,Bishop of Ardagh & Clonmacnoise,131,54,41%,11%,0,54,15,39,10,44,0%,100%,28%,72%,19%,81%,,,,,,,,,,,,,
18068K,S N Peadar agus Pol,Co educational,Denominational,English,Offaly,Kilbeggan,Mainstream,Bishop of Meath,12,8,67%,25%,0,8,3,5,0,8,0%,100%,38%,62%,0%,100%,,,,,,,,,,,,,
15395K,Mount Bolus N S,Co educational,Denominational,English,Offaly,Kilcormac,Mainstream,Bishop of Meath,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17753U,S N Chiarain Naofa,Co educational,Denominational,English,Offaly,Kilcormac,Mainstream,Bishop of Meath,19,8,42%,25%,0,8,2,6,2,6,0%,100%,25%,75%,25%,75%,,,,,,,,,,,,,
18399K,S N Bhride,Co educational,Denominational,English,Offaly,Kilcormac,Mainstream,Bishop of Meath,78,34,44%,14%,2,32,14,20,7,27,6%,94%,41%,59%,21%,79%,,,,,,,,,,,,,
20387P,Scoil Mhuire agus Chormaic,Co educational,Denominational,English,Offaly,Kilcormac,Mainstream,Bishop of Meath,76,29,38%,15%,1,28,11,18,5,24,3%,97%,38%,62%,17%,83%,,,,,,,,,,,,,
16160L,Clonaghadoo N S,Co educational,Denominational,English,Offaly,Mountmellick,Mainstream,Bishop of Kildare & Leighlin,57,22,39%,17%,0,22,6,16,5,17,0%,100%,27%,73%,23%,77%,,,,,,,,,,,,,
17003A,S N Seosamh,Co educational,Denominational,English,Offaly,Nenagh,Mainstream,Bishop of Killaloe,45,14,31%,20%,0,14,5,9,1,13,0%,100%,36%,64%,7%,93%,,,,,,,,,,,,,
15923J,Cloneyhurke N S,Co educational,Denominational,English,Offaly,Portarlington,Mainstream,Bishop of Kildare & Leighlin,14,10,71%,23%,0,10,5,5,1,9,0%,100%,50%,50%,10%,90%,,,,,,,,,,,,,
17616K,Naomh Mhuire N S,Co educational,Denominational,English,Offaly,Portarlington,Mainstream,Bishop of Kildare & Leighlin,55,31,56%,14%,1,30,5,26,2,29,3%,97%,16%,84%,6%,94%,,,,,,,,,,,,,
18115Q,S N Mhuire,Co educational,Denominational,English,Offaly,Portarlington,Mainstream,Bishop of Kildare & Leighlin,75,37,49%,13%,0,37,10,27,7,30,0%,100%,27%,73%,19%,81%,,,,,,,,,,,,,
15325M,Clonbullogue N S,Co educational,Denominational,English,Offaly,Rathangan,Mainstream,Bishop of Kildare & Leighlin,54,24,44%,16%,0,24,8,16,4,20,0%,100%,33%,67%,17%,83%,,,,,,,,,,,,,
15983E,S N Naomh Brogain,Co educational,Denominational,English,Offaly,Rathangan,Mainstream,Bishop of Kildare & Leighlin,56,28,50%,15%,0,28,10,18,6,22,0%,100%,36%,64%,21%,79%,,,,,,,,,,,,,
17336E,S N Mhuire Bainrioghan,Co educational,Denominational,English,Offaly,Roscrea,Mainstream,Bishop of Killaloe,40,23,58%,16%,0,23,4,19,3,20,0%,100%,17%,83%,13%,87%,,,,,,,,,,,,,
17523D,S N Cronain Naofa,Co educational,Denominational,English,Offaly,Roscrea,Mainstream,Bishop of Killaloe,101,51,51%,11%,0,51,19,32,10,41,0%,100%,37%,63%,20%,80%,,,,,,,,,,,,,
18331W,S N Caoimhin Naofa,Co educational,Denominational,English,Offaly,Roscrea,Mainstream,Bishop of Killaloe,30,6,20%,28%,0,6,4,2,1,5,0%,100%,67%,33%,17%,83%,,,,,,,,,,,,,
18537T,S N Ros Com Rua,Co educational,Denominational,English,Offaly,Roscrea,Mainstream,Bishop of Killaloe,12,9,75%,24%,0,9,2,7,2,7,0%,100%,22%,78%,22%,78%,,,,,,,,,,,,,
19638H,Coolderry Central Ns,Co educational,Denominational,English,Offaly,Roscrea,Mainstream,Bishop of Killaloe,19,9,47%,24%,0,9,2,7,0,9,0%,100%,22%,78%,0%,100%,,,,,,,,,,,,,
07191V,S N Seosamh,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,64,26,41%,15%,0,26,4,22,3,23,0%,100%,15%,85%,12%,88%,,,,,,,,,,,,,
09191I,Geashill 1 N S,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Kildare & Leighlin,87,32,37%,14%,0,32,11,21,6,26,0%,100%,34%,66%,19%,81%,,,,,,,,,,,,,
10353P,Charleville N S,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath & Kildare COI,132,26,20%,15%,0,26,15,11,0,26,0%,100%,58%,42%,0%,100%,,,,,,,,,,,,,
15656M,Ballykilmurry N S,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,133,61,46%,10%,0,61,16,45,8,53,0%,100%,26%,74%,13%,87%,,,,,,,,,,,,,
16620T,Daingean N S,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Kildare & Leighlin,177,59,33%,11%,1,58,18,41,6,53,2%,98%,31%,69%,10%,90%,,,,,,,,,,,,,
16928B,S N Naomh Philomena,Single sex,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,152,50,33%,11%,5,45,10,40,5,45,10%,90%,20%,80%,10%,90%,,,,,,,,,,,,,
17031F,Shinchill N S,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Kildare & Leighlin,190,64,34%,10%,0,64,22,42,7,57,0%,100%,34%,66%,11%,89%,,,,,,,,,,,,,
17508H,S N Naomh Cholumchille,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,130,69,53%,10%,1,68,22,47,5,64,1%,99%,32%,68%,7%,93%,,,,,,,,,,,,,
17637S,S N Sheosaimh Naofa,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Kildare & Leighlin,128,49,38%,11%,0,49,18,31,6,43,0%,100%,37%,63%,12%,88%,,,,,,,,,,,,,
17746A,Scoil Colmain Naofa,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,168,61,36%,10%,2,59,26,35,10,51,3%,97%,43%,57%,16%,84%,,,,,,,,,,,,,
18057F,Scoil Mhuire,Single sex,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,192,36,19%,13%,5,31,12,24,1,35,14%,86%,33%,67%,3%,97%,,,,,,,,,,,,,
18524K,S N Naomh Brighde Buach,Single sex,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,105,19,18%,18%,2,17,5,14,2,17,11%,89%,26%,74%,11%,89%,,,,,,,,,,,,,
18690E,Scoil Bhride,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Kildare & Leighlin,36,14,39%,20%,0,14,3,11,3,11,0%,100%,21%,79%,21%,79%,41,1,40,14,27,6,35,2%,98%,34%,66%,15%,85%
18795S,S N Mhuire,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,42,18,43%,18%,0,18,6,12,2,16,0%,100%,33%,67%,11%,89%,,,,,,,,,,,,,
18797W,St. Joseph's N.s.,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,314,120,38%,7%,3,117,39,81,10,110,3%,98%,32%,68%,8%,92%,70,3,67,25,45,4,66,4%,96%,36%,64%,6%,94%
19354Q,St Colmans N S,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Kildare & Leighlin,67,30,45%,14%,0,30,11,19,8,22,0%,100%,37%,63%,27%,73%,33,1,32,9,24,5,28,3%,97%,27%,73%,15%,85%
19713S,Arden Boys Ns,Single sex,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,196,56,29%,11%,13,43,11,45,5,51,23%,77%,20%,80%,9%,91%,,,,,,,,,,,,,
19990V,Gaelscoil an Eiscir Riada,Co educational,Denominational,Irish,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,129,47,36%,12%,0,47,17,30,41,6,0%,100%,36%,64%,87%,13%,,,,,,,,,,,,,
20099K,Offaly School Of Special Education,Co educational,Denominational,English,Offaly,Tullamore_Killina,Special School,Bishop of Meath,41,6,15%,28%,0,6,1,5,1,5,0%,100%,17%,83%,17%,83%,,,,,,,,,,,,,
20189L,Tullamore Educate Together Ns,Co educational,Multi denominational,English,Offaly,Tullamore_Killina,Mainstream,Educate Together,183,50,27%,11%,3,47,36,14,1,49,6%,94%,72%,28%,2%,98%,,,,,,,,,,,,,
20273A,S N Chartaigh Naofa,Co educational,Denominational,English,Offaly,Tullamore_Killina,Mainstream,Bishop of Meath,78,37,47%,13%,1,36,13,24,1,36,3%,97%,35%,65%,3%,97%,,,,,,,,,,,,,
01607T,S N Cor na Fola B,Co educational,Denominational,English,Roscommon,Athlone,Mainstream,Bishop of Elphin,100,46,46%,12%,0,46,11,35,6,40,0%,100%,24%,76%,13%,87%,,,,,,,,,,,,,
12003V,S N Ronain,Co educational,Denominational,English,Roscommon,Athlone,Mainstream,Bishop of Clonfert,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12754U,S N Cnoc an Samhraidh,Co educational,Denominational,English,Roscommon,Athlone,Mainstream,Bishop of Elphin,163,49,30%,11%,3,46,21,28,3,46,6%,94%,43%,57%,6%,94%,,,,,,,,,,,,,
13839K,Carrick N S,Co educational,Denominational,English,Roscommon,Athlone,Mainstream,Bishop of Elphin,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15413J,Brideswell N S,Co educational,Denominational,English,Roscommon,Athlone,Mainstream,Bishop of Elphin,39,17,44%,19%,1,16,6,11,5,12,6%,94%,35%,65%,29%,71%,,,,,,,,,,,,,
16427C,Clonown N S,Co educational,Denominational,English,Roscommon,Athlone,Mainstream,Bishop of Elphin,7,,,,,,,,,,,,,,,,36,1,35,15,21,5,31,3%,97%,42%,58%,14%,86%
17054R,S N Ard Cianain,Co educational,Denominational,English,Roscommon,Athlone,Mainstream,Bishop of Elphin,51,21,41%,17%,0,21,6,15,2,19,0%,100%,29%,71%,10%,90%,,,,,,,,,,,,,
18395C,S N Cluain na Cille,Co educational,Denominational,English,Roscommon,Athlone,Mainstream,Bishop of Elphin,282,95,34%,8%,5,90,31,64,11,84,5%,95%,33%,67%,12%,88%,,,,,,,,,,,,,
18626S,S N an Gleann Duibh,Co educational,Denominational,English,Roscommon,Athlone,Mainstream,Bishop of Elphin,77,46,60%,12%,0,46,13,33,5,41,0%,100%,28%,72%,11%,89%,,,,,,,,,,,,,
19534S,Ballybay National School,Co educational,Denominational,English,Roscommon,Athlone,Mainstream,Bishop of Elphin,151,58,38%,11%,1,57,25,33,7,51,2%,98%,43%,57%,12%,88%,34,0,34,9,25,2,32,0%,100%,26%,74%,6%,94%
13047A,S N Lios a Cuill M,Co educational,Denominational,English,Roscommon,Ballaghadereen,Mainstream,Bishop of Elphin,66,36,55%,13%,0,36,9,27,6,30,0%,100%,25%,75%,17%,83%,,,,,,,,,,,,,
15255R,Don N S,Co educational,Denominational,English,Roscommon,Ballaghadereen,Mainstream,Bishop of Elphin,24,13,54%,21%,0,13,4,9,4,9,0%,100%,31%,69%,31%,69%,,,,,,,,,,,,,
15425Q,Fairymount N S,Co educational,Denominational,English,Roscommon,Ballaghadereen,Mainstream,Bishop of Elphin,29,18,62%,18%,0,18,5,13,5,13,0%,100%,28%,72%,28%,72%,,,,,,,,,,,,,
15543W,Tibohine N S,Co educational,Denominational,English,Roscommon,Ballaghadereen,Mainstream,Bishop of Elphin,38,6,16%,28%,0,6,1,5,0,6,0%,100%,17%,83%,0%,100%,,,,,,,,,,,,,
17748E,S N Padraig Naofa,Co educational,Denominational,English,Roscommon,Ballaghadereen,Mainstream,Bishop of Elphin,67,20,30%,17%,0,20,6,14,5,15,0%,100%,30%,70%,25%,75%,,,,,,,,,,,,,
17904P,S N Brusna,Co educational,Denominational,English,Roscommon,Ballaghadereen,Mainstream,Bishop of Achonry,30,10,33%,23%,0,10,5,5,2,8,0%,100%,50%,50%,20%,80%,,,,,,,,,,,,,
18536R,S N Mhuire Lourdes,Co educational,Denominational,English,Roscommon,Ballaghadereen,Mainstream,Bishop of Elphin,41,20,49%,17%,1,19,9,11,4,16,5%,95%,45%,55%,20%,80%,,,,,,,,,,,,,
19980S,St Attractas N S,Co educational,Denominational,English,Roscommon,Ballaghadereen,Mainstream,Bishop of Achonry,176,32,18%,14%,2,30,16,16,7,25,6%,94%,50%,50%,22%,78%,,,,,,,,,,,,,
15531P,Scoil Mhuire,Co educational,Denominational,English,Roscommon,Ballinasloe,Mainstream,Bishop of Clonfert,69,24,35%,16%,1,23,16,8,1,23,4%,96%,67%,33%,4%,96%,,,,,,,,,,,,,
15614T,Taughmaconnell N S,Co educational,Denominational,English,Roscommon,Ballinasloe,Mainstream,Bishop of Clonfert,63,26,41%,15%,0,26,11,15,2,24,0%,100%,42%,58%,8%,92%,,,,,,,,,,,,,
15980V,Camcloon N S,Co educational,Denominational,English,Roscommon,Ballinasloe,Mainstream,Archbishop of Tuam,38,16,42%,19%,1,15,4,12,2,14,6%,94%,25%,75%,12%,88%,,,,,,,,,,,,,
19368E,S N Naomh Ciaran,Co educational,Denominational,English,Roscommon,Ballinasloe,Mainstream,Archbishop of Tuam,65,39,60%,13%,0,39,8,31,9,30,0%,100%,21%,79%,23%,77%,,,,,,,,,,,,,
01866U,Ballyforan Mixed N S,Co educational,Denominational,English,Roscommon,Ballygar,Mainstream,Bishop of Elphin,37,28,76%,15%,0,28,19,9,5,23,0%,100%,68%,32%,18%,82%,,,,,,,,,,,,,
11466K,Lismoil N S,Co educational,Denominational,English,Roscommon,Ballygar,Mainstream,Bishop of Elphin,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14056G,Mount Talbot N S,Co educational,Denominational,English,Roscommon,Ballygar,Mainstream,Bishop of Elphin,14,8,57%,25%,0,8,3,5,2,6,0%,100%,38%,62%,25%,75%,,,,,,,,,,,,,
15308M,Athleague N S,Co educational,Denominational,English,Roscommon,Ballygar,Mainstream,Bishop of Elphin,51,26,51%,15%,1,25,5,21,2,24,4%,96%,19%,81%,8%,92%,,,,,,,,,,,,,
18005J,Scoil Mhuire Gan Smal,Co educational,Denominational,English,Roscommon,Ballygar,Mainstream,Bishop of Elphin,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18729F,Ballintleva N S,Co educational,Denominational,English,Roscommon,Ballygar,Mainstream,Bishop of Elphin,29,13,45%,21%,0,13,3,10,1,12,0%,100%,23%,77%,8%,92%,,,,,,,,,,,,,
15664L,Granlahan G N S,Co educational,Denominational,English,Roscommon,Ballyhaunis,Mainstream,Archbishop of Tuam,31,19,61%,18%,0,19,6,13,0,19,0%,100%,32%,68%,0%,100%,,,,,,,,,,,,,
16009H,Carrick Mixed N S,Co educational,Denominational,English,Roscommon,Ballyhaunis,Mainstream,Archbishop of Tuam,48,22,46%,17%,0,22,9,13,4,18,0%,100%,41%,59%,18%,82%,,,,,,,,,,,,,
16127N,Gorthaganny N S,Co educational,Denominational,English,Roscommon,Ballyhaunis,Mainstream,Bishop of Elphin,9,5,56%,30%,0,5,0,5,1,4,0%,100%,0%,100%,20%,80%,,,,,,,,,,,,,
14925I,S N Naomh Eoin,Co educational,Denominational,English,Roscommon,Boyle,Mainstream,Bishop of Elphin,32,16,50%,19%,0,16,6,10,3,13,0%,100%,38%,62%,19%,81%,,,,,,,,,,,,,
15584N,Grange N S,Co educational,Denominational,English,Roscommon,Boyle,Mainstream,Bishop of Elphin,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17329H,S N Paroisteach,Co educational,Denominational,English,Roscommon,Boyle,Mainstream,Bishop of Kilmore Elphin & Ardagh COI,19,7,37%,26%,0,7,6,1,0,7,0%,100%,86%,14%,0%,100%,,,,,,,,,,,,,
18012G,S N Cruachain,Co educational,Denominational,English,Roscommon,Boyle,Mainstream,Bishop of Elphin,103,35,34%,13%,0,35,11,24,6,29,0%,100%,31%,69%,17%,83%,,,,,,,,,,,,,
18182I,Naomh Atrachta,Co educational,Denominational,English,Roscommon,Boyle,Mainstream,Bishop of Elphin,22,14,64%,20%,0,14,4,10,3,11,0%,100%,29%,71%,21%,79%,,,,,,,,,,,,,
18454P,S N Naomh Treasa,Co educational,Denominational,English,Roscommon,Boyle,Mainstream,Bishop of Elphin,44,27,61%,15%,0,27,10,17,4,23,0%,100%,37%,63%,15%,85%,,,,,,,,,,,,,
20573M,Abbey Primary School,Co educational,Denominational,English,Roscommon,Boyle,Mainstream,Bishop of Elphin,286,118,41%,8%,2,116,45,73,18,100,2%,98%,38%,62%,15%,85%,64,2,62,26,38,9,55,3%,97%,41%,59%,14%,86%
05220P,S N Michil Naofa,Co educational,Denominational,English,Roscommon,CarrickonShannon,Mainstream,Bishop of Elphin,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11201U,S N Naomh Padraig,Co educational,Denominational,English,Roscommon,CarrickonShannon,Mainstream,Bishop of Elphin,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17571O,Dangan Ns,Co educational,Denominational,English,Roscommon,CarrickonShannon,Mainstream,Bishop of Elphin,56,20,36%,17%,0,20,6,14,2,18,0%,100%,30%,70%,10%,90%,,,,,,,,,,,,,
19720P,N Micheal agus Padraig,Co educational,Denominational,English,Roscommon,CarrickonShannon,Mainstream,Bishop of Elphin,93,37,40%,13%,0,37,16,21,9,28,0%,100%,43%,57%,24%,76%,,,,,,,,,,,,,
01086R,S N Pol Naofa,Single sex,Denominational,English,Roscommon,Castlerea,Mainstream,Bishop of Elphin,61,21,34%,17%,7,14,4,17,1,20,33%,67%,19%,81%,5%,95%,,,,,,,,,,,,,
10967E,Threen N S,Co educational,Denominational,English,Roscommon,Castlerea,Mainstream,Bishop of Elphin,23,10,44%,23%,0,10,2,8,0,10,0%,100%,20%,80%,0%,100%,,,,,,,,,,,,,
11242L,Cloonbonnif N S,Co educational,Denominational,English,Roscommon,Castlerea,Mainstream,Bishop of Elphin,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11943S,Ballinlough N S,Co educational,Denominational,English,Roscommon,Castlerea,Mainstream,Bishop of Kilmore Elphin & Ardagh COI,23,8,35%,25%,0,8,4,4,0,8,0%,100%,50%,50%,0%,100%,,,,,,,,,,,,,
13198V,St Annes Con N S,Single sex,Denominational,English,Roscommon,Castlerea,Mainstream,Bishop of Elphin,102,26,26%,15%,4,22,11,15,2,24,15%,85%,42%,58%,8%,92%,,,,,,,,,,,,,
13757I,Tarmon N S,Co educational,Denominational,English,Roscommon,Castlerea,Mainstream,Bishop of Elphin,186,89,48%,9%,1,88,31,58,13,76,1%,99%,35%,65%,15%,85%,32,0,32,7,25,7,25,0%,100%,22%,78%,22%,78%
15545D,Castleplunkett N S,Co educational,Denominational,English,Roscommon,Castlerea,Mainstream,Bishop of Elphin,29,14,48%,20%,0,14,2,12,1,13,0%,100%,14%,86%,7%,93%,,,,,,,,,,,,,
16334S,St. Bride's N.s.,Co educational,Denominational,English,Roscommon,Castlerea,Mainstream,Bishop of Elphin,55,33,60%,14%,0,33,5,28,7,26,0%,100%,15%,85%,21%,79%,,,,,,,,,,,,,
17266J,Ballanagare N S,Co educational,Denominational,English,Roscommon,Castlerea,Mainstream,Bishop of Elphin,39,18,46%,18%,0,18,6,12,2,16,0%,100%,33%,67%,11%,89%,,,,,,,,,,,,,
19789F,Scoil Micheal Naofa,Co educational,Denominational,English,Roscommon,Castlerea,Special School,Bishop of Elphin,84,16,19%,19%,2,14,7,9,3,13,12%,88%,44%,56%,19%,81%,,,,,,,,,,,,,
06100K,S N Cill Ronain,Co educational,Denominational,English,Roscommon,Drumshanbo,Mainstream,Bishop of Ardagh & Clonmacnoise,19,10,53%,23%,0,10,1,9,1,9,0%,100%,10%,90%,10%,90%,,,,,,,,,,,,,
13978B,S N Naomh Padraig,Co educational,Denominational,English,Roscommon,Drumshanbo,Mainstream,Bishop of Ardagh & Clonmacnoise,13,12,92%,21%,0,12,2,10,2,10,0%,100%,17%,83%,17%,83%,,,,,,,,,,,,,
17622F,S N Lasair Naofa,Co educational,Denominational,English,Roscommon,Drumshanbo,Mainstream,Bishop of Ardagh & Clonmacnoise,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17709R,S N Naomh Mhuire,Co educational,Denominational,English,Roscommon,Drumshanbo,Mainstream,Bishop of Elphin,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19257S,Strabaggan N S,Co educational,Denominational,English,Roscommon,Drumshanbo,Mainstream,Bishop of Ardagh & Clonmacnoise,14,8,57%,25%,0,8,1,7,0,8,0%,100%,12%,88%,0%,100%,,,,,,,,,,,,,
15557K,Cloonfad N S,Co educational,Denominational,English,Roscommon,Dunmore,Mainstream,Archbishop of Tuam,90,30,33%,14%,2,28,8,22,5,25,7%,93%,27%,73%,17%,83%,,,,,,,,,,,,,
14684M,Aughrim N S,Co educational,Denominational,English,Roscommon,Elphin,Mainstream,Bishop of Elphin,20,6,30%,28%,0,6,0,6,3,3,0%,100%,0%,100%,50%,50%,,,,,,,,,,,,,
16034G,Tulsk N S,Co educational,Denominational,English,Roscommon,Elphin,Mainstream,Bishop of Elphin,48,18,38%,18%,0,18,4,14,1,17,0%,100%,22%,78%,6%,94%,,,,,,,,,,,,,
17353E,S N Cill Trostain,Co educational,Denominational,English,Roscommon,Elphin,Mainstream,Bishop of Elphin,21,9,43%,24%,0,9,4,5,1,8,0%,100%,44%,56%,11%,89%,,,,,,,,,,,,,
18027T,Clooniquin N S,Co educational,Denominational,English,Roscommon,Elphin,Mainstream,Bishop of Elphin,29,9,31%,24%,0,9,3,6,3,6,0%,100%,33%,67%,33%,67%,,,,,,,,,,,,,
19809I,Abbeycarton Ns,Co educational,Denominational,English,Roscommon,Elphin,Mainstream,Bishop of Elphin,93,32,34%,14%,1,31,10,22,8,24,3%,97%,31%,69%,25%,75%,,,,,,,,,,,,,
17849K,S N O Dubhlain,Co educational,Denominational,English,Roscommon,Lanesboro,Mainstream,Bishop of Elphin,10,6,60%,28%,0,6,1,5,1,5,0%,100%,17%,83%,17%,83%,,,,,,,,,,,,,
18061T,Scoil Mhuire,Co educational,Denominational,English,Roscommon,Lanesboro,Mainstream,Bishop of Elphin,45,17,38%,19%,0,17,7,10,1,16,0%,100%,41%,59%,6%,94%,,,,,,,,,,,,,
18116S,Cloontuskert National School,Co educational,Denominational,English,Roscommon,Lanesboro,Mainstream,Bishop of Elphin,53,24,45%,16%,0,24,10,14,5,19,0%,100%,42%,58%,21%,79%,,,,,,,,,,,,,
04800F,Rooskey N S,Co educational,Denominational,English,Roscommon,Longford_Newtownforbes,Mainstream,Bishop of Elphin,107,50,47%,11%,1,49,22,28,5,45,2%,98%,44%,56%,10%,90%,,,,,,,,,,,,,
13498K,Cloonfour N S,Co educational,Denominational,English,Roscommon,Longford_Newtownforbes,Mainstream,Bishop of Elphin,24,9,38%,24%,0,9,5,4,1,8,0%,100%,56%,44%,11%,89%,,,,,,,,,,,,,
14049J,Whitehall N S,Co educational,Denominational,English,Roscommon,Longford_Newtownforbes,Mainstream,Bishop of Elphin,53,21,40%,17%,1,20,5,16,3,18,5%,95%,24%,76%,14%,86%,,,,,,,,,,,,,
12964I,S N Naomh Seosamh,Co educational,Denominational,English,Roscommon,Roscommon,Mainstream,Bishop of Elphin,60,33,55%,14%,0,33,9,24,3,30,0%,100%,27%,73%,9%,91%,,,,,,,,,,,,,
13262E,Clover Hill N S,Co educational,Denominational,English,Roscommon,Roscommon,Mainstream,Bishop of Elphin,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14356S,Lisaniskey N S,Co educational,Denominational,English,Roscommon,Roscommon,Mainstream,Bishop of Elphin,70,33,47%,14%,0,33,8,25,4,29,0%,100%,24%,76%,12%,88%,,,,,,,,,,,,,
14966W,Kilteevan N S,Co educational,Denominational,English,Roscommon,Roscommon,Mainstream,Bishop of Elphin,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16815L,S N Naomh Ceitheach,Co educational,Denominational,English,Roscommon,Roscommon,Mainstream,Bishop of Elphin,10,5,50%,30%,0,5,2,3,1,4,0%,100%,40%,60%,20%,80%,,,,,,,,,,,,,
17100V,S N Rath Aradh,Co educational,Denominational,English,Roscommon,Roscommon,Mainstream,Bishop of Elphin,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18165I,Tisrara National School,Co educational,Denominational,English,Roscommon,Roscommon,Mainstream,Bishop of Elphin,29,13,45%,21%,0,13,3,10,1,12,0%,100%,23%,77%,8%,92%,,,,,,,,,,,,,
18194P,Ciaran Naofa,Co educational,Denominational,English,Roscommon,Roscommon,Mainstream,Bishop of Elphin,33,17,52%,19%,0,17,6,11,0,17,0%,100%,35%,65%,0%,100%,,,,,,,,,,,,,
18272J,Lecarrow Community National School,Co educational,Multi denominational,English,Roscommon,Roscommon,Mainstream,Galway and Roscommon ETB,23,17,74%,19%,0,17,17,0,4,13,0%,100%,100%,0%,24%,76%,,,,,,,,,,,,,
18571T,S N Cnoc an Chrocaire,Co educational,Denominational,English,Roscommon,Roscommon,Mainstream,Bishop of Elphin,92,43,47%,12%,1,42,13,30,5,38,2%,98%,30%,70%,12%,88%,,,,,,,,,,,,,
18742U,Roxboro N S,Co educational,Denominational,English,Roscommon,Roscommon,Mainstream,Bishop of Elphin,111,44,40%,12%,0,44,11,33,8,36,0%,100%,25%,75%,18%,82%,,,,,,,,,,,,,
